uid,vid,weight,name,description,language_code,authority_link
1,language,0,"English","","eng",iso639-2b;https://id.loc.gov/vocabulary/iso639-2/eng
2,language,1,"Chinese","","chi",iso639-2b;https://id.loc.gov/vocabulary/iso639-2/chi
3,language,2,"French","","fre",iso639-2b;https://id.loc.gov/vocabulary/iso639-2/fre
4,language,3,"German","","ger",iso639-2b;https://id.loc.gov/vocabulary/iso639-2/ger
5,language,4,"Hindi","","hin",iso639-2b;https://id.loc.gov/vocabulary/iso639-2/hin
6,language,5,"Japanese","","jpn",iso639-2b;https://id.loc.gov/vocabulary/iso639-2/jpn
7,language,6,"Russian","","rus",iso639-2b;https://id.loc.gov/vocabulary/iso639-2/rus
8,language,7,"Spanish","","spa",iso639-2b;https://id.loc.gov/vocabulary/iso639-2/spa
9,language,8,"Zhuang","","zha",iso639-2b;https://id.loc.gov/vocabulary/iso639-2/zha
~
